id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
838765078792830910,Accessible Bed: Queen + Bath: Down the Hall,228911273,The Revolution Hotel,,South End,42.34707865245842,-71.07116013022076,Private room,,1,33,2024-01-02,0.57,15,0,1,Exempt: This listing is a hotel or motel
838766480218443526,Bed:King + Bath:Down The Hall,228911273,The Revolution Hotel,,South End,42.34621,-71.07197,Private room,,1,383,2023-08-27,6.55,15,0,0,Exempt: This listing is a hotel or motel
838767832826243346,Bed:King + Bath:In-Room,228911273,The Revolution Hotel,,South End,42.34635,-71.07183,Private room,,1,153,2023-05-21,2.66,15,0,0,Exempt: This listing is a hotel or motel
838770795516125230,Bed:Quad + Bath:Down The Hall,228911273,The Revolution Hotel,,South End,42.34539074754755,-71.06998819543543,Private room,,1,301,2024-01-14,5.14,15,0,1,Exempt: This listing is a hotel or motel
838771894893288060,Bed:Queen + Bath:In-Room,228911273,The Revolution Hotel,,South End,42.3450278305856,-71.07057079795524,Private room,,1,210,2023-01-15,3.63,15,0,0,Exempt: This listing is a hotel or motel
838773011153595044,Bed:Triple + Bath:Down The Hall,228911273,The Revolution Hotel,,South End,42.3468,-71.07205,Private room,,1,313,2024-01-16,5.38,15,0,6,Exempt: This listing is a hotel or motel
838775412112470886,Revolution Loft:Accessible Queen,228911273,The Revolution Hotel,,South End,42.34708,-71.07122,Private room,,1,1,2020-02-08,0.02,15,0,0,Exempt: This listing is a hotel or motel
838776642994805648,Revolution Loft: Junior Suite,228911273,The Revolution Hotel,,South End,42.34532,-71.07016,Private room,,1,6,2022-03-20,0.14,15,0,0,Exempt: This listing is a hotel or motel
838781939154266184,Revolution Loft: King,228911273,The Revolution Hotel,,South End,42.34691838610646,-71.07183571159062,Private room,,1,16,2022-06-29,0.28,15,0,0,Exempt: This listing is a hotel or motel
838784537837664266,Revolution Loft: One Bedroom Suite,228911273,The Revolution Hotel,,South End,42.346404293011716,-71.06976256891731,Private room,,1,6,2022-07-21,0.16,15,0,0,Exempt: This listing is a hotel or motel
838786293292910788,Revolution Loft: Queen,228911273,The Revolution Hotel,,South End,42.34483522266024,-71.07153939303058,Private room,,1,13,2022-04-12,0.23,15,0,0,Exempt: This listing is a hotel or motel
838791296379971638,Revolution Loft: Two Double Beds,228911273,The Revolution Hotel,,South End,42.34704,-71.07,Private room,,1,15,2022-08-11,0.26,15,0,0,Exempt: This listing is a hotel or motel
838792904210420562,Studio Suite,228911273,The Revolution Hotel,,South End,42.34527891734742,-71.06977162573598,Private room,,1,7,2022-12-04,0.15,15,0,0,Exempt: This listing is a hotel or motel
839390730343699607,Spacious 4 bedroom apartment in Downtown Boston,208829554,Ping,,Downtown,42.35331,-71.05882,Entire home/apt,,91,11,2024-08-01,0.65,3,0,1,STR-399153
840519456002071221,"Nxt to ocean, 5 min dntwn by T",189235334,Albena,,East Boston,42.3651757086422,-71.03671754053205,Entire home/apt,350,1,118,2024-09-08,6.54,2,237,78,STR-522754
841340391794964228,Residential home 6 bedrooms with free parking,504179464,Bill,,Mattapan,42.27585996935596,-71.07228684526291,Entire home/apt,,4,13,2024-08-26,0.79,1,286,6,STR-517953
842083317799628452,Brownstone 5 mins from Downtown,227889113,Lee,,Roxbury,42.33302712736915,-71.08388925685023,Entire home/apt,450,1,17,2024-09-08,2.74,7,336,17,Str-460336
842083325390113866,Perfect Victorian home,227889113,Lee,,Mattapan,42.27382,-71.07947,Entire home/apt,,1,0,,,7,226,0,STR-558753
844122210795331698,Classic Private Room #1375 E,297860058,Sophia,,Mission Hill,42.33333752262703,-71.10128029078449,Private room,65,91,0,,,156,276,0,
844159846481180918,Modest Private Room #233 C,297860058,Sophia,,Allston,42.35123579502473,-71.14389077511913,Private room,57,91,0,,,156,121,0,
844177024778571157,Practical Private Room #835 C,297860058,Sophia,,Allston,42.356117767032025,-71.13229117198227,Private room,60,91,0,,,156,346,0,
844267526849669236,Wonderful Fenway 3br/2ba | Steps from Fenway Park!,275849638,Steven,,Fenway,42.34950701821771,-71.09329788049406,Entire home/apt,600,1,77,2024-09-13,4.33,71,53,49,STR-489711
845725526594307928,"Forever Boston-5 mil Fenway, FreePrkg",105054371,Elona,,Roslindale,42.289883,-71.1394402,Entire home/apt,281,2,55,2024-09-08,3.01,1,135,32,STR-523310
846239063484503738,Cozy Back Bay Studio | Close to Fenway!,275849638,Steven,,Fenway,42.35063833281663,-71.09297187157289,Entire home/apt,327,1,0,,,71,238,0,STR-476579
846449916697294381,JP Gem: Near Orange Line & Food,69866787,Eric,,Jamaica Plain,42.3164542232749,-71.10062603529886,Private room,112,3,42,2024-09-15,4.41,1,66,42,STR-538103
846872271807146973,"Blueground | Fenway, roof & gym, nr fenway park",107434423,Blueground,,Fenway,42.3472723,-71.10130939999999,Entire home/apt,239,32,0,,,355,48,0,
846872983266331248,"Blueground | Fenway, roof & gym, nr fenway park",107434423,Blueground,,Fenway,42.3441154,-71.0995393,Entire home/apt,396,32,0,,,355,28,0,
846941854165910381,Almost there!  4bed 2bath Apartment in Downtown,275849638,Steven,,Downtown,42.35546,-71.06294,Entire home/apt,630,3,62,2024-09-10,3.75,71,325,47,STR-460528
847129553841190014,Luxury apartment in south end!,28929296,Seif,,South End,42.34263299743971,-71.06311311808622,Entire home/apt,490,29,4,2023-05-23,0.23,3,364,0,STR-180737
847189753655203664,Stylish Boston Renovation | Near T,279124542,Angela,,Jamaica Plain,42.2941174,-71.11704639999999,Entire home/apt,,30,42,2024-08-23,2.46,2,302,32,STR-438785
847346704941478843,Cozy Bedroom in Convenient Downtown Location,2356643,StayNue,,South Boston,42.3313639347081,-71.05325524880553,Private room,,29,3,2024-07-20,0.18,45,349,1,STR-522998
847787466062561534,Luxury 3BD/2BA Near Logan Airport and T station 1836,212359760,Mohammed Radi,,East Boston,42.38600558748402,-71.00720616839854,Entire home/apt,289,29,44,2023-12-10,2.50,63,308,14,Exempt: This listing is a unit that has contracts with hospitals
847997915913073765,Best Place To Rest,505588339,Maudrey,,Mattapan,42.279007146693225,-71.09426341045074,Entire home/apt,,2,18,2024-08-27,1.28,1,163,14,STR-522459
848961017797807929,"Private Room w/ Queen Bed, 7 mins to Harvard",2356643,StayNue,,Brighton,42.35158,-71.16411,Private room,35,1,10,2024-08-01,0.59,45,333,6,STR-484106
849234104694269714,Luxurious 1BR in FIDI Boston | Close to Everything,382451810,Healing Homes,,Downtown,42.35884411390937,-71.05492076260008,Entire home/apt,480,1,90,2024-09-15,5.05,72,329,58,STR-489708
849316099483773204,Charming Theater District 1Br | Walk Anywhere!,275849638,Steven,,Bay Village,42.34974,-71.06737,Entire home/apt,375,29,39,2023-12-07,2.15,71,321,14,STR-481123
849335827776494057,Pet Friendly - Elevator - Laundry in Bldg - FIDI,275849638,Steven,,Downtown,42.35918176984304,-71.05380096814993,Entire home/apt,292,1,58,2024-08-29,3.33,71,331,38,STR-424130
849958605156718257,"Td Garden, Panoramic and luxury",158837906,Dan,,Downtown,42.36625276180515,-71.06517901518792,Entire home/apt,445,29,1,2023-06-12,0.06,10,297,0,STR-009577
850765909224271702,The Murphy Suite,21415420,Patrick,,Dorchester,42.314918197821875,-71.0556744600529,Entire home/apt,90,29,1,2024-05-12,0.23,1,126,1,
850907296135453535,"E. Boston Condo| Airport, Faneuil Hall, Aquarium",248893926,Trevor,,East Boston,42.37108,-71.03437,Entire home/apt,146,3,62,2024-08-29,3.71,1,45,29,STR-522839
851604996722456234,Boston Gem,239719797,Monica,,Dorchester,42.311212515871865,-71.06428632993537,Entire home/apt,260,2,26,2024-08-25,1.73,1,78,21,STR-523794
851622176051437463,Duplex Apartment in South Boston - 3BR/2BTH/2Decks,506331310,Melisa,,South Boston,42.33647,-71.04719,Entire home/apt,,2,69,2024-05-31,4.22,1,0,40,STR-523907
851676461880529893,Boston Bunkers,428724673,Priyanka,,Roslindale,42.28977908215538,-71.13581985293713,Entire home/apt,159,1,33,2024-08-30,1.99,5,268,22,STR-461034
852056763960452031,Spacious & Stylish 4-BR w/ 4-BA Apt near DT,233918361,Indira,,Roxbury,42.313813165129844,-71.08925695377695,Entire home/apt,336,2,13,2024-09-15,3.42,1,330,13,STR-560204
853152498670245209,Cozy apt 2 min walk to Airport~,217617282,Beaux,,East Boston,42.375350678776904,-71.0317023632275,Entire home/apt,,29,36,2023-11-12,2.00,5,0,17,STR-446303
853391813264548119,"Blueground | Fenway, roof & gym, nr fenway park",107434423,Blueground,,Fenway,42.3475057,-71.1010258,Entire home/apt,264,32,0,,,355,272,0,
853479504749158828,Beacon Hill Writer's Lair,92903178,Ben,,Beacon Hill,42.35876437680328,-71.06911858788247,Entire home/apt,229,29,0,,,2,119,0,
853597173279735591,Classic Private Room #1068 B,297860058,Sophia,,Mission Hill,42.333016026887854,-71.10505223963446,Private room,59,91,0,,,156,318,0,
853597201373723501,Comfortable Private Room #427 A,297860058,Sophia,,Mission Hill,42.33033251888824,-71.10279898941273,Private room,70,91,0,,,156,271,0,
853696799070610370,Quiet room w/ skylight over bed,2317686,Bryan,,Fenway,42.34728547045484,-71.10381530571021,Private room,97,7,4,2023-10-01,0.23,2,121,1,STR-461112
855178163713767837,Private room in Boston Neighborhood (1st Fl),29500286,Noelani,,Mattapan,42.28312,-71.09187,Private room,85,1,48,2024-09-08,3.29,1,15,30,STR-524356
857175353247182494,Djady’s,268089102,Maria,,Dorchester,42.3140755,-71.05715889999999,Private room,45,29,3,2024-08-31,0.19,3,336,1,
857372517206581174,"Large room with AC next to T, 29 Dexter Street",26098645,Manuela,,South Boston,42.3305506,-71.0581754,Private room,68,5,31,2024-08-16,1.78,6,60,17,STR-522764
858659396824816067,Upscale Boston 2 BR w/ Off Street Parking,507787766,Tim,,West Roxbury,42.29362,-71.13868,Entire home/apt,368,1,53,2024-09-14,3.01,1,15,31,STR-518362
859566125486151685,Location+Comfort+Convenience!,2236975,Jonatas,,East Boston,42.36971097877554,-71.04019015026245,Entire home/apt,330,2,37,2024-08-29,2.37,1,260,24,STR-524764
859692631321104617,Single Family with comfort plus location.,507996585,Safiya,,Roxbury,42.3263693,-71.0918622,Entire home/apt,250,29,0,,,1,307,0,
860163719347640584,Mystic River House,206544913,Nicole,,Charlestown,42.37930140632935,-71.06538013831026,Entire home/apt,700,29,1,2023-07-19,0.07,1,77,0,STR-525162
861596117565785721,Lovely 3 bedroom 2 bath “6 miles from downtown”,227889113,Lee,,Dorchester,42.283682954683336,-71.07296703274152,Entire home/apt,,1,30,2024-07-25,1.75,7,346,12,STR-522922
861745537838627043,Heart of Southie - Hot Tub + Walk to Top Bars,487591231,Alexander,,South Boston,42.3349257,-71.0449714,Entire home/apt,943,2,55,2024-09-09,3.57,1,340,43,STR-401897
861788821813334017,"Roslindale Condo,W/D in unit,2 BDR,Free Parking",144344613,Gerald,,Roslindale,42.2786954,-71.11786239999999,Entire home/apt,197,3,38,2024-09-16,2.41,1,191,23,STR-522292
862441882772498141,Boston Getaway,3263797,Keren,,Dorchester,42.31914890858806,-71.0543593840498,Entire home/apt,158,29,1,2023-05-05,0.06,1,364,0,STR-524924
863764018590884065,Spacious 2BR near UMASS | Savin hill | T Stop 3986,212359760,Mohammed Radi,,Dorchester,42.30945530884786,-71.05278630616118,Entire home/apt,236,1,77,2024-09-11,4.41,63,342,53,STR-520842
863764278641845127,Spacious 2BR near UMASS | Savin hill | T Stop 2388,212359760,Mohammed Radi,,Dorchester,42.311429786306036,-71.05275229990548,Entire home/apt,225,1,64,2024-09-13,3.63,63,347,46,STR-520842
863829091185949070,"Room Available, Jamaica Plain, Roomate + 2 Cats!",508875857,Andrew,,Jamaica Plain,42.305893637591986,-71.10482562192449,Private room,,29,3,2023-09-02,0.19,1,0,0,STR-415715
864021933298523984,Cozy room space,227889113,Lee,,Dorchester,42.28307,-71.07269,Private room,700,1,0,,,7,365,0,STR-522922
